,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
42,2017-1666,2017-06-28,1,Vente,1500.0,,,EN GROTANT,B132,1250.0,1447,Villereversure,1,,,014470000C0280,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,1410.0,5.405269,46.188131
43,2017-1702,2017-06-22,2,Vente,113000.0,,,BALVAY,B002,1340.0,1130,Bresse Vallons,1,1130.0,Cras-sur-Reyssouze,011300000A1127,,,,,,,,,,,,,0,,,,,P,prés,,,121.0,5.196662,46.310812
44,2017-1755,2017-06-30,1,Vente,1150000.0,,,BUIZONNE,B046,1570.0,1159,Feillens,1,,,01159000ZH0380,,,,,,,,,,,,,0,,,,,S,sols,,,1919.0,4.885912,46.326116
45,2017-1800,2017-06-30,2,Vente,1200.0,,,EN PAVIS,B184,1250.0,1125,Corveissiat,1,,,01125000ZE0058,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,6581.0,5.50472,46.261328
46,2017-1830,2017-06-09,1,Vente,204350.0,1659.0,,AV DE TREVOUX,476,1000.0,1344,Saint-Denis-lès-Bourg,1,,,013440000B0386,,,,,,,,,,,,,0,1.0,Maison,100.0,6.0,J,jardins,,,1007.0,5.185612,46.199202
47,2017-1874,2017-07-05,1,Vente,137000.0,1244.0,,CHE DE LA CROIX,108,1960.0,1289,Péronnas,1,,,01289000AV0222,,,,,,,,,,,,,0,2.0,Appartement,65.0,3.0,S,sols,,,638.0,5.196113,46.185513
48,2017-1923,2017-07-04,1,Vente,1000.0,,,MARILLAT,B059,1380.0,1343,Saint-Cyr-sur-Menthon,1,,,01343000ZO0093,,,,,,,,,,,,,0,,,,,J,jardins,,,175.0,4.965503,46.255844
49,2017-1962,2017-07-24,1,Vente,270000.0,7.0,,PL DE L EGLISE,92,1440.0,1451,Viriat,1,,,01451000AE0246,,,3,109.29,,,,,,,,,1,1.0,Maison,62.0,3.0,,,,,,5.215733,46.254244
50,2017-1998,2017-07-06,1,Vente,100000.0,,,AU BOURG,B008,1340.0,1236,Marsonnas,1,,,01236000AN0032,,,,,,,,,,,,,0,,,,,S,sols,,,166.0,5.070544,46.341281
51,2017-2046,2017-07-19,1,Vente,87950.0,24.0,,AV DE JASSERON,1950,1000.0,1053,Bourg-en-Bresse,1,,,01053000BZ0467,,,4,48.35,,,,,,,,,1,2.0,Appartement,55.0,2.0,,,,,,5.247745,46.211013
